"","app_id","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"11864",5784,0,"SE",19,1,"P",1.16,250,15,1,34.0333333333333,0,0,7,300.95,0,59.640625,1,1,0,3,1
"11865",5921,0,"SE",19,1,"H",1,1808,2,1.52,0,4,0,9,879.99,0,97.734375,1.14,0,200.862,5,-1
"11866",5767,0,"SL",22,5,"P",1.27,4000,24,1,0,16.1416666666667,5.76,9,1085,0,64.033828125,1,1,1914,3,-1
"11867",5827,0,"SL",17,0,"P",1.26,337,29.9596666666667,1.01,39.25,5,0.05,10,235.585,0,65.15625,1.01,0,0.499999999999424,5,-1
"11868",5723,0,"SO",19,1,"P",1.18,333.5,7,1.03,0,6,0,10,102.27,0.1177732567,48.890625,1.01,0,-5.84350345889106e-13,5,-1
"11869",5731,0,"SD",18,1,"P",1.28,187.833333333333,24,1,64.49,10,0.2625,8,206.782,0,66.78125,1.02,1,0,3,-1
"11870",5756,0,"SM",18,1,"P",1.12,610.125,8.19,1.215,6.49,21,0,9,93.2233333333333,0.0318606646,66.21875,1,0,7.19166666666652,5,1
"11871",-5950,0,"SO",18,1,"P",2,250,4,1,41.12,2,0,10,124,0.2452726113,49.8203125,2,1,0,3,1
"11872",5896,1,"SO",18,1,"P",1.22,150,9,1,31.73,17,0.322727272727273,11,37.8442857142857,0.0747731652,61.703125,1.03,1,0,3,-1
"11873",5757,0,"SO",19,1,"P",1.21,141,13,1,29.3742857142857,10,1,11,40.2742857142857,0.0694084687,54.984375,1.04,1,0,3,-1
"11874",-5894,0,"SC",19,1,"P",1.22,223,11.83,1.01,39.4542857142857,14,0,12,59.73,0,58.2890625,1.04,0,-5.8463456298341e-13,5,-1
"11875",-5907,1,"SO",18,1,"P",1,50,2,1.04,23.955,13,0.504285714285714,12,0,0.2657713192,52.21875,1,0,4.72333333333329,5,1
"11876",5798,1,"SO",19,1,"P",1.05,461,11.27,1.195,9.01,6,2,13,159.74,0.1246503636,49.703125,1,0,11.8433333333333,5,1
"11877",-5721,0,"SB",18,1,"P",1,250,5,1.125,28.24,15,2,14,1,0,46.296875,1.09,0,2.4799999999995,5,-1
"11878",5904,1,"SA",19,2,"P",1.25,245,15.4086666666667,1.16,35.61,19,0,14,121.53,0,62.1875,1.01,0,92.61,5,-1
"11879",-5943,0,"SF",18,0,"P",1.21,234.875,16.51,1.02,49.92,10,0,16,140.112,0,71.09375,1.01,0,0.469999999999353,5,-1
"11880",-5747,0,"SE",18,1,"P",1.12,637.541666666667,11.5716666666667,1.29,10.38,11.4133333333333,0.48,16,244.776666666667,0,70.796875,1,0,2.17999999999983,5,1
"11881",-5854,1,"SL",18,1,"P",1.22,231,10,1,36.78,7,0,18,68.58,0,86.90625,1.04,1,0,3,-1
"11882",5802,0,"SC",19,1,"P",1.18,950,10,1,0,8,1.295,18,183.59,0.0523047028,81.71875,1.13,1,0,3,4
"11883",5791,0,"SD",19,1,"P",1,2192.5,3,1,31.435,11,11,19,660.94,0,40.3203125,1.05,1,0,3,-1
"11884",5884,0,"SL",18,1,"P",1.055,260.5,13.8066666666667,1.01,50.19,6,0,20,161.028666666667,0.0594583875,33.2265625,1,0,9.1499999999999,5,1
"11885",-5803,0,"SC",18,1,"P",1.24,337.083333333333,38,1,35.5275,4,0,22,342.93,0.2847760236,49.484375,1,1,0,3,-1
"11886",5915,2,"SA",19,1,"P",1.18,385.75,69,2,27.89,12,1,24,289.34,0,46.15625,1.01,1,0,3,-1
"11887",-5793,0,"SF",18,1,"P",1.27,470.5,40,1,93.91,15,0,26,320.434285714286,0.072666456,60.2578125,1.11,1,0,2,-1
"11888",5761,600,"SO",18,1,"P",1.96,595,23,2,202.395,12,0,26,331.72,0,34.7109375,1,2,0,3,-1
"11889",-5818,0,"SE",19,1,"P",1.47,300,7,1,175,19,0,25,0,0.1280097137,98.234375,1.1,1,0,3,-1
"11890",5877,0,"SA",18,1,"P",1.27,255.666666666667,29,1,48.8,22,0,28,303.695,0.3342614435,56.0859375,1.01,1,0,3,-1
"11891",-5932,1,"SO",17,1,"P",1.21,596.5,11.74,1.01333333333333,12.144,16,0.71,30,61.78,0,72.171875,1.03,0,-6.33519903203705e-13,5,-1
"11892",5717,1,"SH",19,1,"P",1,750,5,1.245,7.8,10,1,33,115.58,0,85.1875,1,0,8.3999999999999,5,2
"11893",5769,0,"SD",18,1,"P",1.21,145.625,12.734,1.03,40.37,10,0,35,110.87,0.1377885696,52.453125,1.03,0,-6.6620486904867e-13,5,-1
"11894",5905,0,"SC",18,1,"P",1.14,256.5,27.748,1.05,52.9575,6,0,42,375.9,0.2454165127,75.84375,1,0,3.63999999999992,5,0
"11895",5912,0,"SO",18,0,"P",1.19,310.5,12.48,1.05,26.94,27,0.2575,50,52.06,0.0042796547,79.640625,1.03,0,-6.09361450187862e-13,5,-1
"11896",-5780,0,"SO",19,1,"P",1.175,672,21,1,5.39,23,2,55,131.48,0,65.8125,1.02,1,0,3,-1
"11897",-5841,1,"SL",18,1,"P",1.24,455,34.8454545454545,1.08,39.8883333333333,4,0,56,303.22,0,76.828125,1.04,0,3.2399999999995,5,-1
"11898",5867,0,"SB",18,1,"P",1.17611111111111,293.75,68,1,69.15,15,0,60,292.834285714286,0.0308931664,74.265625,1,1,0,3,0
"11899",-5815,0,"SG",19,1,"P",1.28,808,10,1,0,14,0,66,380.42,0.0402610995,17,1.17,1,0,3,4
