"","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","var.FT","var.SA","var.SB","var.SC","var.SD","var.SE","var.SF","var.SG","var.SH","var.SJ","var.SK","var.SL","var.SM","var.SN","var.SO","var.H","var.P","var.R","var.1","var.2","var.3","var.4","var.5","response"
"218",1,"SA",21,1,"P",1,11700,13,2,1,3,1,13,124,0.0949819081,34.2265625,1,0,0,5,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"221",1,"SO",21,1,"P",1,750,21,1,0,21,3,13,0,0.2622215869,33.2578125,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
"225",800,"SB",45,1,"R",1,250,18,2,40,1,6,9,465,0.2662298642,38.671875,1,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"226",11,"SD",18,1,"P",1,350,15,2,35,9,0,1,528,0.3506224779,55.28125,1,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"232",0,"SA",19,1,"P",1,100,15,1,40,0,0,3,0,0,80.546875,2,0,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"233",0,"SB",18,1,"P",1,3100,2,1,50,4,4,5,217,0,61.765625,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"234",0,"SO",20,1,"P",1,500,5,1,0,1,0,6,0,0.0471019316,57.4609375,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"235",320,"SN",20,1,"P",1,1100,5,2,0,6,3,12,1301,0.0602993299,78.640625,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"236",1540,"FT",38,0,"R",2,1250,5,2,220,11,4,14,1,0.0897912448,51.609375,1,0,0,5,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"237",0,"SO",18,1,"P",1,950,28,1,0,21,1,5,2294,0.0769873261,31.10546875,1,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"239",0,"SE",18,0,"P",1,150,3,1,21,2,0,12,0,0.3860725453,57.9296875,1,0,0,5,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"240",0,"SO",16,0,"P",1,1000,6,2,30,11,2,16,869,0.0563377071,27.62109375,1,0,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
